id,key,value,type
29352731,ref,NE1,regular
29352731,name,Ahmedabad Vadodara Expressway,regular
29352731,oneway,Yes,regular
29352731,highway,Motorway,regular
29352731,maxspeed,100,regular
29352731,created_by,Potlatch 0.10F,regular
29352732,name,Ahmedabad Vadodara Expressway,regular
29352732,layer,1,regular
29352732,bridge,Yes,regular
29352732,oneway,Yes,regular
29352732,highway,Motorway,regular
29352732,maxspeed,100,regular
29352733,ref,NE1,regular
29352733,name,Ahmedabad Vadodara Expressway,regular
29352733,oneway,Yes,regular
29352733,highway,Motorway,regular
29352733,maxspeed,100,regular
29352733,created_by,Potlatch 0.10F,regular
29352773,ref,NE1,regular
29352773,name,Ahmedabad Vadodara Expressway,regular
29352773,oneway,Yes,regular
29352773,highway,Motorway,regular
29352773,maxspeed,100,regular
29352773,created_by,Potlatch 0.10F,regular
29352775,name,Ahmedabad Vadodara Expressway,regular
29352775,layer,1,regular
29352775,bridge,Yes,regular
29352775,oneway,Yes,regular
29352775,highway,Motorway,regular
29352775,maxspeed,100,regular
29352777,name,Ahmedabad Vadodara Expressway,regular
29352777,layer,1,regular
29352777,bridge,Yes,regular
29352777,oneway,Yes,regular
29352777,highway,Motorway,regular
29352777,maxspeed,100,regular
29352780,ref,NE1,regular
29352780,name,Ahmedabad Vadodara Expressway,regular
29352780,toll,Yes,regular
29352780,oneway,Yes,regular
29352780,highway,Motorway,regular
29352780,maxspeed,100,regular
29352958,power,Substation,regular
29353567,power,Substation,regular
29354169,power,Line,regular
29354169,cables,3,regular
29355337,power,Substation,regular
29355589,power,Line,regular
29355953,power,Line,regular
29355953,cables,6,regular
29355953,voltage,220000,regular
29361153,oneway,Yes,regular
29361153,highway,Primary,regular
29361153,old,NH8,ref
29361153,motorroad,No,regular
29361198,name,Narol-Sarkhej Road,regular
29361198,oneway,Yes,regular
29361198,highway,Primary,regular
29361198,motorroad,No,regular
29361198,country,IN,addr
29361224,layer,1,regular
29361224,bridge,Yes,regular
29361224,oneway,Yes,regular
29361224,highway,Primary,regular
29361224,motorroad,No,regular
29361229,layer,1,regular
29361229,bridge,Yes,regular
29361229,oneway,Yes,regular
29361229,highway,Primary,regular
29361229,motorroad,No,regular
29361231,name,Narol-Sarkhej Road,regular
29361231,oneway,Yes,regular
29361231,highway,Primary,regular
29361231,motorroad,No,regular
29361231,country,IN,addr
29361477,ref,NH47,regular
29361477,oneway,Yes,regular
29361477,highway,Trunk,regular
29361477,old,NH8A,ref
29361883,ref,NH8A,regular
29361883,name,H8A,regular
29361883,oneway,Yes,regular
29361883,highway,Trunk,regular
29361921,name,Western Railway Line,regular
29361921,note,The Operator Of The Railway Line Is Indian Railways,regular
29361921,gauge,1676,regular
29361921,usage,Main,regular
29361921,railway,Rail,regular
29361921,voltage,25000,regular
29361921,frequency,50,regular
29361921,electrified,Contact_Line,regular
29362056,ref,NH8A,regular
29362056,name,NH8A,regular
29362056,layer,1,regular
29362056,bridge,Yes,regular
29362056,oneway,Yes,regular
29362056,highway,Trunk,regular
29362056,motorroad,No,regular
29362059,ref,NH147,regular
29362059,oneway,Yes,regular
29362059,highway,Trunk,regular
29362059,old,NH8A,ref
29362059,motorroad,No,regular
29362060,ref,NH147,regular
29362060,layer,1,regular
29362060,bridge,Yes,regular
29362060,oneway,Yes,regular
29362060,highway,Trunk,regular
29362060,old,NH8A,ref
29362763,name,Western Railway Line,regular
29362763,gauge,1676,regular
29362763,usage,Main,regular
29362763,railway,Rail,regular
29362763,voltage,25000,regular
29362763,frequency,50,regular
29362763,electrified,Contact_Line,regular
29362764,gauge,1676,regular
29362764,layer,1,regular
29362764,usage,Main,regular
29362764,bridge,Yes,regular
29362764,railway,Rail,regular
29362764,voltage,25000,regular
29362764,frequency,50,regular
29362764,electrified,Contact_Line,regular
29362765,gauge,1676,regular
29362765,layer,1,regular
29362765,usage,Main,regular
29362765,bridge,Yes,regular
29362765,railway,Rail,regular
29362765,voltage,25000,regular
29362765,frequency,50,regular
29362765,electrified,Contact_Line,regular
29362777,gauge,1676,regular
29362777,usage,Main,regular
29362777,railway,Rail,regular
29362777,voltage,25000,regular
29362777,frequency,50,regular
29362777,electrified,Contact_Line,regular
29362783,gauge,1000,regular
29362783,layer,1,regular
29362783,bridge,Yes,regular
29362783,railway,Narrow_Gauge,regular
29362789,name,Western Railway Line,regular
29362789,gauge,1000,regular
29362789,railway,Narrow_Gauge,regular
29362792,railway,Rail,regular
29362868,railway,Rail,regular
29362868,service,Spur,regular
29362875,railway,Rail,regular
29362875,service,Spur,regular
29362887,bridge,Yes,regular
29362887,railway,Rail,regular
29362888,railway,Rail,regular
29362910,bridge,Yes,regular
29362910,railway,Rail,regular
29362910,passenger_lines,2,regular
29362911,railway,Rail,regular
29362911,passenger_lines,2,regular
29363001,railway,Abandoned,regular
29372909,name,Narol Sarkhej Road,regular
29372909,oneway,Yes,regular
29372909,highway,Primary,regular
29372909,motorroad,No,regular
29372925,oneway,Yes,regular
29372925,highway,Primary,regular
29372925,old,NH8,ref
29372925,motorroad,No,regular
29372926,layer,1,regular
29372926,bridge,Yes,regular
29372926,oneway,Yes,regular
29372926,highway,Primary,regular
29372926,new,N 48,ref
29372926,motorroad,No,regular
29372930,layer,1,regular
29372930,bridge,Yes,regular
29372930,oneway,Yes,regular
29372930,highway,Primary,regular
29372930,new,N 48,ref
29372930,motorroad,No,regular
29372972,lanes,2,regular
29372972,layer,1,regular
29372972,oneway,Yes,regular
29372972,highway,Primary,regular
29372972,old,NH8,ref
29372972,motorroad,No,regular
29372974,lanes,2,regular
29372974,layer,1,regular
29372974,oneway,Yes,regular
29372974,highway,Primary,regular
29372974,old,NH8,ref
29372974,motorroad,No,regular
29373071,layer,1,regular
29373071,bridge,Yes,regular
29373071,oneway,Yes,regular
29373071,highway,Primary,regular
29373071,new,N 48,ref
29373071,motorroad,No,regular
29373072,lanes,4,regular
29373072,oneway,Yes,regular
29373072,highway,Primary,regular
29373072,old,NH8,ref
29373072,motorroad,No,regular
29373078,layer,1,regular
29373078,bridge,Yes,regular
29373078,oneway,Yes,regular
29373078,highway,Primary,regular
29373078,new,N 48,ref
29373078,motorroad,No,regular
29373243,name,NH8,regular
29373243,oneway,Yes,regular
29373243,highway,Primary,regular
29373243,new,N 48,ref
29373243,motorroad,No,regular
29373666,railway,Rail,regular
29373673,railway,Rail,regular
29373675,layer,1,regular
29373675,bridge,Yes,regular
29373675,railway,Rail,regular
29373969,ref,SH41,regular
29373969,oneway,Yes,regular
29373969,highway,Primary,regular
29374026,ref,SH41,regular
29374026,layer,1,regular
29374026,bridge,Yes,regular
29374026,oneway,Yes,regular
29374026,highway,Primary,regular
29374030,ref,SH41,regular
29374030,oneway,Yes,regular
29374030,highway,Primary,regular
29375006,foot,Yes,regular
29375006,highway,Footway,regular
29375148,name,Lal Bahadur Shastri Road,regular
29375148,oneway,-1,regular
29375148,highway,Secondary,regular
29375274,name,Nathalal Jhagadia Bridge,regular
29375274,layer,1,regular
29375274,bridge,Yes,regular
29375274,oneway,Yes,regular
29375274,highway,Tertiary,regular
29375295,highway,Tertiary,regular
29375304,highway,Service,regular
29375317,name,Punit Marg,regular
29375317,oneway,No,regular
29375317,highway,Unclassified,regular
29375387,ref,NH8,regular
29375387,oneway,-1,regular
29375387,highway,Trunk,regular
29375467,oneway,-1,regular
29375467,highway,Trunk,regular
29375620,name,Naroda Road,regular
29375620,highway,Primary,regular
29375620,motorroad,No,regular
29375622,name,Naroda Road,regular
29375622,layer,1,regular
29375622,bridge,Yes,regular
29375622,highway,Primary,regular
29375622,motorroad,No,regular
29375946,name,Rustom Cama Marg,regular
29375946,oneway,Yes,regular
29375946,highway,Secondary,regular
29376004,name,Ellisbridge,regular
29376004,layer,2,regular
29376004,bridge,Yes,regular
29376004,oneway,-1,regular
29376004,highway,Secondary,regular
29376008,highway,Tertiary,regular
29376105,name,Central Jail Road Sabarmati Jail Road,regular
29376105,highway,Tertiary,regular
29376203,name,Gandhi Bridge,regular
29376203,layer,2,regular
29376203,bridge,Yes,regular
29376203,oneway,-1,regular
29376203,highway,Primary,regular
29376203,motorroad,No,regular
29376205,name,Kasturba Gandhi Road,regular
29376205,oneway,-1,regular
29376205,highway,Primary,regular
29376205,motorroad,No,regular
29376270,name,Netaji Subhash Chandra Road,regular
29376270,oneway,Yes,regular
29376270,highway,Trunk,regular
29376357,oneway,Yes,regular
29376357,highway,Secondary,regular
29376638,ref,NH147,regular
29376638,layer,1,regular
29376638,bridge,Yes,regular
29376638,oneway,Yes,regular
29376638,highway,Trunk,regular
29376638,old,NH8C,ref
29376724,ref,NH147,regular
29376724,name,Thaltej Cross Road,regular
29376724,oneway,Yes,regular
29376724,highway,Trunk,regular
29376724,old,NH8C,ref
29376724,junction,Roundabout,regular
29376742,ref,NH147,regular
29376742,oneway,Yes,regular
29376742,highway,Trunk,regular
29376742,old,NH8C,ref
29376743,ref,NH147,regular
29376743,layer,1,regular
29376743,bridge,Yes,regular
29376743,oneway,Yes,regular
29376743,highway,Trunk,regular
29376743,old,NH8C,ref
29376744,ref,NH147,regular
29376744,oneway,Yes,regular
29376744,highway,Trunk,regular
29376744,old,NH8C,ref
29376745,ref,NH147,regular
29376745,layer,1,regular
29376745,bridge,Yes,regular
29376745,oneway,Yes,regular
29376745,highway,Trunk,regular
29376745,old,NH8C,ref
29376751,ref,NH147,regular
29376751,layer,1,regular
29376751,bridge,Yes,regular
29376751,oneway,Yes,regular
29376751,highway,Trunk,regular
29376751,old,NH8C,ref
29376752,ref,NH147,regular
29376752,oneway,Yes,regular
29376752,highway,Trunk,regular
29376752,old,NH8C,ref
29376753,ref,NH147,regular
29376753,oneway,Yes,regular
29376753,highway,Trunk,regular
29376753,old,NH8C,ref
29376760,ref,NH147,regular
29376760,layer,1,regular
29376760,bridge,Yes,regular
29376760,oneway,Yes,regular
29376760,highway,Trunk,regular
29376760,old,NH8C,ref
29376765,ref,NH147,regular
29376765,layer,1,regular
29376765,bridge,Yes,regular
29376765,oneway,Yes,regular
29376765,highway,Trunk,regular
29376765,old,NH8C,ref
29376766,ref,NH147,regular
29376766,oneway,Yes,regular
29376766,highway,Trunk,regular
29376766,old,NH8C,ref
29376767,ref,NH147,regular
29376767,layer,1,regular
29376767,bridge,Yes,regular
29376767,oneway,Yes,regular
29376767,highway,Trunk,regular
29376767,old,NH8C,ref
29376768,ref,NH147,regular
29376768,oneway,Yes,regular
29376768,highway,Trunk,regular
29376768,old,NH8C,ref
29376795,ref,NH147,regular
29376795,layer,1,regular
29376795,bridge,Yes,regular
29376795,oneway,Yes,regular
29376795,highway,Trunk,regular
29376795,old,NH8C,ref
29376798,ref,NH147,regular
29376798,oneway,Yes,regular
29376798,highway,Trunk,regular
29376798,old,NH8C,ref
29376804,ref,NH147,regular
29376804,layer,1,regular
29376804,bridge,Yes,regular
29376804,oneway,Yes,regular
29376804,highway,Trunk,regular
29376804,old,NH8C,ref
29376814,ref,NH147,regular
29376814,oneway,Yes,regular
29376814,highway,Trunk,regular
29376814,old,NH8C,ref
29377420,name,GH Road,regular
29377420,oneway,Yes,regular
29377420,highway,Secondary,regular
29377994,oneway,Yes,regular
29377994,highway,Tertiary,regular
29378023,name,Road 2,regular
29378023,oneway,Yes,regular
29378023,highway,Tertiary,regular
29378172,ref,SH71,regular
29378172,name,Gandhinagar-Ahmedabad Highway,regular
29378172,oneway,Yes,regular
29378172,highway,Primary,regular
29378172,motorroad,No,regular
29378213,name,Indira Bridge,regular
29378213,layer,1,regular
29378213,bridge,Yes,regular
29378213,highway,Primary,regular
29378214,name,Gandhinagar-Ahmedabad Highway,regular
29378214,oneway,Yes,regular
29378214,highway,Primary,regular
29378215,name,Indira Bridge,regular
29378215,layer,1,regular
29378215,bridge,Yes,regular
29378215,oneway,Yes,regular
29378215,highway,Primary,regular
29378217,name,Gandhinagar-Ahmedabad Highway,regular
29378217,oneway,Yes,regular
29378217,highway,Primary,regular
29378254,name,Gandhinagar-Ahmedabad Highway,regular
29378254,oneway,Yes,regular
29378254,highway,Primary,regular
29378255,name,Gandhinagar-Ahmedabad Highway,regular
29378255,layer,1,regular
29378255,bridge,Yes,regular
29378255,oneway,Yes,regular
29378255,highway,Primary,regular
29378257,name,Gandhinagar-Ahmedabad Highway,regular
29378257,layer,1,regular
29378257,bridge,Yes,regular
29378257,oneway,Yes,regular
29378257,highway,Primary,regular
29378258,name,Gandhinagar-Ahmedabad Highway,regular
29378258,oneway,Yes,regular
29378258,highway,Primary,regular
29378290,ref,SH71,regular
29378290,name,Gandhinagar-Ahmedabad Highway,regular
29378290,oneway,Yes,regular
29378290,highway,Primary,regular
29378290,junction,Roundabout,regular
29378290,motorroad,No,regular
29378312,ref,SH71,regular
29378312,oneway,Yes,regular
29378312,highway,Primary,regular
29378312,motorroad,No,regular
29378316,ref,SH71,regular
29378316,layer,1,regular
29378316,bridge,Yes,regular
